,Global_active_power,Global_reactive_power,Voltage,Global_intensity,date_time,meterings
0,3.322,0.204,238.7,14.2,2009-04-13 21:18:00,35.0
1,0.328,0.232,241.38,1.6,2008-05-17 03:59:00,1.0
2,0.298,0.112,245.59,1.2,2007-01-24 01:41:00,0.0
3,0.082,0.0,241.01,0.2,2008-08-25 23:04:00,1.0
4,0.336,0.078,245.62,1.4,2008-12-18 04:44:00,1.0
5,1.952,0.238,238.96,8.2,2007-06-01 14:56:00,18.0
6,0.434,0.0,242.38,1.8,2010-06-21 13:12:00,0.0
8,0.22,0.14,242.84,1.0,2009-07-21 04:04:00,2.0
9,0.448,0.0,242.44,1.8,2007-09-26 23:14:00,3.0
10,0.344,0.116,247.31,1.4,2007-03-22 03:06:00,0.0
11,0.492,0.21,241.22,2.2,2009-07-03 11:57:00,1.0
12,0.434,0.0,244.55,1.8,2010-11-14 23:20:00,0.0
13,1.836,0.0,239.0,7.6,2008-05-01 13:34:00,17.0
14,5.766,0.188,233.57,24.6,2009-11-04 11:06:00,88.0
15,0.296,0.082,243.97,1.2,2008-12-03 05:25:00,0.0
16,0.364,0.16,241.9,1.8,2009-04-09 23:58:00,1.0
17,0.658,0.38,241.45,3.0,2010-11-17 23:47:00,1.0
18,1.332,0.0,240.02,5.4,2010-12-04 11:29:00,18.0
19,0.25,0.06,246.79,1.0,2007-03-01 03:08:00,0.0
20,0.336,0.0,244.03,1.6,2008-05-26 15:14:00,0.0
21,1.634,0.14,245.03,6.6,2010-01-27 23:31:00,20.0
22,0.37,0.354,242.21,2.0,2007-06-24 02:55:00,1.0
23,0.358,0.082,242.14,1.4,2010-09-05 22:40:00,0.0
24,5.076,0.15,238.87,21.2,2009-09-04 21:08:00,62.0
25,1.512,0.172,240.76,6.2,2009-04-28 12:31:00,20.0
26,0.248,0.054,245.78,1.2,2009-01-02 07:52:00,0.0
27,1.37,0.204,240.74,5.6,2009-06-22 10:08:00,18.0
28,0.218,0.114,241.58,1.0,2009-01-10 14:16:00,1.0
